ID;URL's de las imágenes;Precio Final;Cantidad;Estado;Nombre;Descripción;Categorias;Precio Base;Precio Venta;Cantidad mínima;Nombre de la imagen;Folder;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3121.JPG;;200;1;Juego bvlgari;acero madre perla existente en acero amarillo rosa y plata;1,4;;;;IMG_3121.JPG;acero_20160616;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3122.JPG;;200;1;Pulso Tous;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3122.JPG;acero_20160617;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3123.JPG;;200;1;Pulso cartier;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3123.JPG;acero_20160618;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3124.JPG;;200;1;Juego bvlgari;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3124.JPG;acero_20160619;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3125.JPG;;200;1;Pulso Tous;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3125.JPG;acero_20160620;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3126.JPG;;200;1;Pulso tiffany;acero con zirconia en acero amarillo rosa y plata;1,4;;;;IMG_3126.JPG;acero_20160621;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3127.JPG;;200;1;Pulso Tous;acero con zirconia en acero amarillo rosa y plata;1,4;;;;IMG_3127.JPG;acero_20160622;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3128.JPG;;200;1;Brazalete Mk;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3128.JPG;acero_20160623;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3129.JPG;;200;1;Juego bvlgari;acero con zirconia en acero amarillo rosa y plata;1,4;;;;IMG_3129.JPG;acero_20160624;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3130.JPG;;200;1;Pulso bvlgari ;acero con zirconia en acero amarillo rosa y plata;1,4;;;;IMG_3130.JPG;acero_20160625;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3131.JPG;;200;1;Pulso channel marquiz;acero con zirconia en acero amarillo rosa y plata;1,4;;;;IMG_3131.JPG;acero_20160626;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3132.JPG;;200;1;Pulso channel doble cz;acero con zirconia en acero amarillo rosa y plata;1,4;;;;IMG_3132.JPG;acero_20160627;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3133.JPG;;200;1;Juego bvlgari onix 3 cz;acero con zirconia y onix en acero amarillo rosa y plata;1,4;;;;IMG_3133.JPG;acero_20160628;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3134.JPG;;200;1;Pulso tiffany placa ;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3134.JPG;acero_20160629;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3135.JPG;;200;1;Juego channel zirconia;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3135.JPG;acero_20160630;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3136.JPG;;200;1;Juego bvlgari zirconia;acero con zirconia en acero amarillo rosa y plata;1,4;;;;IMG_3136.JPG;acero_20160631;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3137.JPG;;200;1;Pulso cartier zirconia;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3137.JPG;acero_20160632;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3138.JPG;;200;1;Pulso triple tiffany corazon;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3138.JPG;acero_20160633;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3139.JPG;;200;1;Juego tous marco zirconia;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3139.JPG;acero_20160634;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3140.JPG;;200;1;Pulso channel num. 5;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3140.JPG;acero_20160635;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3141.JPG;;200;1;Pulso doble tous;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3141.JPG;acero_20160636;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3142.JPG;;200;1;Broquel tous ;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3142.JPG;acero_20160637;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3143.JPG;;200;1;Arete largo channel num. 5;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3143.JPG;acero_20160638;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3144.JPG;;200;1;Pulso tiffany corazon grueso;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3144.JPG;acero_20160639;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3145.JPG;;200;1;Broquel bvlgari madre perla ;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3145.JPG;acero_20160640;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3146.JPG;;200;1;Broquel bvlgari clasico onix ;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3146.JPG;acero_20160641;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3147.JPG;;200;1;Media arracada cartier;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3147.JPG;acero_20160642;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3148.JPG;;200;1;Pulso cartier con desarmador;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3148.JPG;acero_20160643;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3149.JPG;;200;1;Arracada cartier con argolla ;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3149.JPG;acero_20160644;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3150.JPG;;200;1;Anillo cartier zirconia ;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3150.JPG;acero_20160645;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3151.JPG;;200;1;Juego cartier zirconia 3 argollas;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3151.JPG;acero_20160646;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3152.JPG;;200;1;Anillo alianza channel;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3152.JPG;acero_20160647;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3153.JPG;;200;1;Juego mk con marquiz;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3153.JPG;acero_20160648;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3154.JPG;;200;1;Juego bvlgari zirconia saliente;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3154.JPG;acero_20160649;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3155.JPG;;200;1;Anillo alianza tiffany corazon ;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3155.JPG;acero_20160650;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3156.JPG;;200;1;Juego triple argolla bvlgari;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3156.JPG;acero_20160651;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3157.JPG;;200;1;Juego gucci corazon ;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3157.JPG;acero_20160652;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3158.JPG;;200;1;Juego cartier tornillo ;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3158.JPG;acero_20160653;;;;;;;;;;;;;
