Imagen;Categoria;Precio Base;Precio Final;Cantidad;Nombre
http://localhost:8888/joyeria/temp/CATALOGO GARGANTILLAS 2 ILEANA SANDOVAL/$.JPG;"1,9";0;0;200;Gargantilla
http://localhost:8888/joyeria/temp/CATALOGO GARGANTILLAS 2 ILEANA SANDOVAL/GR448C $295.JPG;"1,9";295;472;200;Gargantilla
http://localhost:8888/joyeria/temp/CATALOGO GARGANTILLAS 2 ILEANA SANDOVAL/GR450C $197.JPG;"1,9";297;475.2;200;Gargantilla
http://localhost:8888/joyeria/temp/CATALOGO GARGANTILLAS 2 ILEANA SANDOVAL/GR451C $257.JPG;"1,9";257;411.2;200;Gargantilla
http://localhost:8888/joyeria/temp/CATALOGO GARGANTILLAS 2 ILEANA SANDOVAL/GR454C $219.JPG;"1,9";219;350.4;200;Gargantilla
http://localhost:8888/joyeria/temp/CATALOGO GARGANTILLAS 2 ILEANA SANDOVAL/GR455C $172.JPG;"1,9";172;275.2;200;Gargantilla
http://localhost:8888/joyeria/temp/CATALOGO GARGANTILLAS 2 ILEANA SANDOVAL/GR457C $226.JPG;"1,9";226;361.6;200;Gargantilla
http://localhost:8888/joyeria/temp/CATALOGO GARGANTILLAS 2 ILEANA SANDOVAL/GR459C $83.JPG;"1,9";83;132.8;200;Gargantilla
http://localhost:8888/joyeria/temp/CATALOGO GARGANTILLAS 2 ILEANA SANDOVAL/GR460C $196.JPG;"1,9";196;313.6;200;Gargantilla
http://localhost:8888/joyeria/temp/CATALOGO GARGANTILLAS 2 ILEANA SANDOVAL/GR461C $244.JPG;"1,9";244;390.4;200;Gargantilla
http://localhost:8888/joyeria/temp/CATALOGO GARGANTILLAS 2 ILEANA SANDOVAL/GR462C $260.JPG;"1,9";260;416;200;Gargantilla
http://localhost:8888/joyeria/temp/CATALOGO GARGANTILLAS 2 ILEANA SANDOVAL/GR463C $239.JPG;"1,9";239;382.4;200;Gargantilla
http://localhost:8888/joyeria/temp/CATALOGO GARGANTILLAS 2 ILEANA SANDOVAL/GR464C $114.JPG;"1,9";114;182.4;200;Gargantilla
http://localhost:8888/joyeria/temp/CATALOGO GARGANTILLAS 2 ILEANA SANDOVAL/GR465C $156.JPG;"1,9";156;249.6;200;Gargantilla
http://localhost:8888/joyeria/temp/CATALOGO GARGANTILLAS 2 ILEANA SANDOVAL/GR468C $199.JPG;"1,9";199;318.4;200;Gargantilla
http://localhost:8888/joyeria/temp/CATALOGO GARGANTILLAS 2 ILEANA SANDOVAL/GR469C $260.JPG;"1,9";260;416;200;Gargantilla
http://localhost:8888/joyeria/temp/CATALOGO GARGANTILLAS 2 ILEANA SANDOVAL/GR470C $270.JPG;"1,9";270;432;200;Gargantilla
http://localhost:8888/joyeria/temp/CATALOGO GARGANTILLAS 2 ILEANA SANDOVAL/GR471C $193.JPG;"1,9";193;308.8;200;Gargantilla
http://localhost:8888/joyeria/temp/CATALOGO GARGANTILLAS 2 ILEANA SANDOVAL/GR472C $319.JPG;"1,9";319;510.4;200;Gargantilla
http://localhost:8888/joyeria/temp/CATALOGO GARGANTILLAS 2 ILEANA SANDOVAL/GR473C $223.JPG;"1,9";223;356.8;200;Gargantilla
http://localhost:8888/joyeria/temp/CATALOGO GARGANTILLAS 2 ILEANA SANDOVAL/GR474C $301.JPG;"1,9";201;321.6;200;Gargantilla
http://localhost:8888/joyeria/temp/CATALOGO GARGANTILLAS 2 ILEANA SANDOVAL/GR475C $68.JPG;"1,9";68;108.8;200;Gargantilla
http://localhost:8888/joyeria/temp/CATALOGO GARGANTILLAS 2 ILEANA SANDOVAL/GR476C $197.JPG;"1,9";197;315.2;200;Gargantilla
http://localhost:8888/joyeria/temp/CATALOGO GARGANTILLAS 2 ILEANA SANDOVAL/GR481C $184.JPG;"1,9";184;294.4;200;Gargantilla
http://localhost:8888/joyeria/temp/CATALOGO GARGANTILLAS 2 ILEANA SANDOVAL/GR483C $177.JPG;"1,9";177;283.2;200;Gargantilla
http://localhost:8888/joyeria/temp/CATALOGO GARGANTILLAS 2 ILEANA SANDOVAL/GR484C $160.JPG;"1,9";160;256;200;Gargantilla
http://localhost:8888/joyeria/temp/CATALOGO GARGANTILLAS 2 ILEANA SANDOVAL/GR485C $204.JPG;"1,9";204;326.4;200;Gargantilla
http://localhost:8888/joyeria/temp/CATALOGO GARGANTILLAS 2 ILEANA SANDOVAL/GR486C $93.JPG;"1,9";93;148.8;200;Gargantilla
http://localhost:8888/joyeria/temp/CATALOGO GARGANTILLAS 2 ILEANA SANDOVAL/GR489C $213.JPG;"1,9";213;340.8;200;Gargantilla
http://localhost:8888/joyeria/temp/CATALOGO GARGANTILLAS 2 ILEANA SANDOVAL/GR490C $260.JPG;"1,9";260;416;200;Gargantilla
http://localhost:8888/joyeria/temp/CATALOGO GARGANTILLAS 2 ILEANA SANDOVAL/GR491C $177.JPG;"1,9";177;283.2;200;Gargantilla
http://localhost:8888/joyeria/temp/CATALOGO GARGANTILLAS 2 ILEANA SANDOVAL/GR492C $250.JPG;"1,9";250;400;200;Gargantilla
http://localhost:8888/joyeria/temp/CATALOGO 1 GARGANTILLAS ILEANA SANDOVAL/gr326c $112.JPG;"1,9";112;179.2;200;Gargantilla
http://localhost:8888/joyeria/temp/CATALOGO 1 GARGANTILLAS ILEANA SANDOVAL/GR355C $146.JPG;"1,9";146;233.6;200;Gargantilla
http://localhost:8888/joyeria/temp/CATALOGO 1 GARGANTILLAS ILEANA SANDOVAL/gr359c $156.JPG;"1,9";156;249.6;200;Gargantilla
http://localhost:8888/joyeria/temp/CATALOGO 1 GARGANTILLAS ILEANA SANDOVAL/GR360C $109.JPG;"1,9";109;174.4;200;Gargantilla
http://localhost:8888/joyeria/temp/CATALOGO 1 GARGANTILLAS ILEANA SANDOVAL/GR365C $150.JPG;"1,9";150;240;200;Gargantilla
http://localhost:8888/joyeria/temp/CATALOGO 1 GARGANTILLAS ILEANA SANDOVAL/GR366C $88.JPG;"1,9";88;140.8;200;Gargantilla
http://localhost:8888/joyeria/temp/CATALOGO 1 GARGANTILLAS ILEANA SANDOVAL/gr367c $207.JPG;"1,9";207;331.2;200;Gargantilla
