ID;Imagen;Nombre;Referencia;Categoría;Precio base;Precio final;Cantidad;Estado
125;http://localhost:8888/joyeria/img/p/1/2/5/125.jpg;Broquel bvlgari clasico 6mm;125;Mujer;0;0;200;1
622;http://localhost:8888/joyeria/img/p/6/2/2/622.jpg;Pulsera;622;Raíz;108;194.4;200;1
508;http://localhost:8888/joyeria/img/p/5/0/8/508.jpg;Gargantilla;508;Raíz;68;122.4;200;1
60;http://localhost:8888/joyeria/img/p/6/0/60.jpg;Arete tiffany corazon turquesa;60;Mujer;0;0;200;1
558;http://localhost:8888/joyeria/img/p/5/5/8/558.jpg;Pulsera;558;Raíz;102;183.6;200;1
35;http://localhost:8888/joyeria/img/p/3/5/35.jpg;Anillo alianza tiffany corazon;35;Mujer;0;0;200;1
100;http://localhost:8888/joyeria/img/p/1/0/0/100.jpg;Juego bvlgari gota;100;Mujer;0;0;200;1
597;http://localhost:8888/joyeria/img/p/5/9/7/597.jpg;Pulsera;597;Raíz;63;113.4;200;1
166;http://localhost:8888/joyeria/img/p/1/6/6/166.jpg;Broquel cartier tornillo;166;Mujer;0;0;200;1
664;http://localhost:8888/joyeria/img/p/6/6/4/664.jpg;Collar;664;Raíz;335;603;200;1
547;http://localhost:8888/joyeria/img/p/5/4/7/547.jpg;Gargantilla;547;Raíz;325;585;200;1
10;http://localhost:8888/joyeria/img/p/1/0/10.jpg;Pulso bvlgari;10;Mujer;0;0;200;1
74;http://localhost:8888/joyeria/img/p/7/4/74.jpg;Arete channel perla;74;Mujer;0;0;200;1
572;http://localhost:8888/joyeria/img/p/5/7/2/572.jpg;Pulsera;572;Raíz;82;147.6;200;1
140;http://localhost:8888/joyeria/img/p/1/4/0/140.jpg;Juego channel rombo;140;Mujer;0;0;200;1
636;http://localhost:8888/joyeria/img/p/6/3/6/636.jpg;Collar;636;Raíz;311;559.8;200;1
522;http://localhost:8888/joyeria/img/p/5/2/2/522.jpg;Gargantilla;522;Raíz;109;196.2;200;1
49;http://localhost:8888/joyeria/img/p/4/9/49.jpg;Pulso rolex ancla;49;Mujer;0;0;200;1
114;http://localhost:8888/joyeria/img/p/1/1/4/114.jpg;Juego cartier sencillo;114;Mujer;0;0;200;1
611;http://localhost:8888/joyeria/img/p/6/1/1/611.jpg;Pulsera;611;Raíz;57;102.6;200;1
497;http://localhost:8888/joyeria/img/p/4/9/7/497.jpg;Gargantilla;497;Raíz;260;468;200;1
24;http://localhost:8888/joyeria/img/p/2/4/24.jpg;Pulso tiffany corazon grueso;24;Mujer;0;0;200;1
89;http://localhost:8888/joyeria/img/p/8/9/89.jpg;Juego candado de channel;89;Mujer;0;0;200;1
586;http://localhost:8888/joyeria/img/p/5/8/6/586.jpg;Pulsera;586;Raíz;37;66.6;200;1
155;http://localhost:8888/joyeria/img/p/1/5/5/155.jpg;Juego cartier tornillo;155;Mujer;0;0;200;1
653;http://localhost:8888/joyeria/img/p/6/5/3/653.jpg;Collar;653;Raíz;211;379.8;200;1
536;http://localhost:8888/joyeria/img/p/5/3/6/536.jpg;Gargantilla;536;Raíz;226;406.8;200;1
561;http://localhost:8888/joyeria/img/p/5/6/1/561.jpg;Pulsera;561;Raíz;100;180;200;1
128;http://localhost:8888/joyeria/img/p/1/2/8/128.jpg;Broquel corazon cartier;128;Mujer;0;0;200;1
625;http://localhost:8888/joyeria/img/p/6/2/5/625.jpg;Pulsera;625;Raíz;68;122.4;200;1
511;http://localhost:8888/joyeria/img/p/5/1/1/511.jpg;Gargantilla;511;Raíz;177;318.6;200;1
63;http://localhost:8888/joyeria/img/p/6/3/63.jpg;Juego channel zirconia;63;Mujer;0;0;200;1
38;http://localhost:8888/joyeria/img/p/3/8/38.jpg;Juego cartier tornillo;38;Mujer;0;0;200;1
103;http://localhost:8888/joyeria/img/p/1/0/3/103.jpg;Juego bvlgari oval;103;Mujer;0;0;200;1
600;http://localhost:8888/joyeria/img/p/6/0/0/600.jpg;Pulsera;600;Raíz;127;228.6;200;1
169;http://localhost:8888/joyeria/img/p/1/6/9/169.jpg;Juego cadenas der bvlgari;169;Mujer;0;0;200;1
667;http://localhost:8888/joyeria/img/p/6/6/7/667.jpg;Collar;667;Raíz;178;320.4;200;1
550;http://localhost:8888/joyeria/img/p/5/5/0/550.jpg;Gargantilla;550;Raíz;164;295.2;200;1
13;http://localhost:8888/joyeria/img/p/1/3/13.jpg;Juego bvlgari onix 3 cz;13;Mujer;0;0;200;1
77;http://localhost:8888/joyeria/img/p/7/7/77.jpg;Pulso bvlgari zirconia;77;Mujer;0;0;200;1
575;http://localhost:8888/joyeria/img/p/5/7/5/575.jpg;Pulsera;575;Raíz;63;113.4;200;1
144;http://localhost:8888/joyeria/img/p/1/4/4/144.jpg;Juego channel rombo bicolor;144;Mujer;0;0;200;1
639;http://localhost:8888/joyeria/img/p/6/3/9/639.jpg;Collar;639;Raíz;162;291.6;200;1
525;http://localhost:8888/joyeria/img/p/5/2/5/525.jpg;Gargantilla;525;Raíz;207;372.6;200;1
52;http://localhost:8888/joyeria/img/p/5/2/52.jpg;Pulso flecha rolex;52;Mujer;0;0;200;1
117;http://localhost:8888/joyeria/img/p/1/1/7/117.jpg;Pulso channel clasico;117;Mujer;0;0;200;1
614;http://localhost:8888/joyeria/img/p/6/1/4/614.jpg;Pulsera;614;Raíz;88;158.4;200;1
500;http://localhost:8888/joyeria/img/p/5/0/0/500.jpg;Gargantilla;500;Raíz;156;280.8;200;1
27;http://localhost:8888/joyeria/img/p/2/7/27.jpg;Media arracada cartier;27;Mujer;0;0;200;1
92;http://localhost:8888/joyeria/img/p/9/2/92.jpg;Juego channel rombo;92;Mujer;0;0;200;1
589;http://localhost:8888/joyeria/img/p/5/8/9/589.jpg;Pulsera;589;Raíz;196;352.8;200;1
158;http://localhost:8888/joyeria/img/p/1/5/8/158.jpg;Juego bvulgari 3 argollas;158;Mujer;0;0;200;1
656;http://localhost:8888/joyeria/img/p/6/5/6/656.jpg;Collar;656;Raíz;235;423;200;1
539;http://localhost:8888/joyeria/img/p/5/3/9/539.jpg;Gargantilla;539;Raíz;321;577.8;200;1
66;http://localhost:8888/joyeria/img/p/6/6/66.jpg;Huggie mk rombo;66;Mujer;0;0;200;1
564;http://localhost:8888/joyeria/img/p/5/6/4/564.jpg;Pulsera;564;Raíz;76;136.8;200;1
131;http://localhost:8888/joyeria/img/p/1/3/1/131.jpg;Juego mk zirconia con onix;131;Mujer;0;0;200;1
